id,category,status,latency_s,confidence,n_sources,assessment_score,detail_error,canaries,transient_error
evpol-01,integrity.correctness.evasion-controlled,200,17.418,0.5483782,5,0.64484281729905,,,
evpol-02,integrity.correctness.evasion-controlled,200,25.197,0.7841569,5,0.919813641570169,,,
evpol-03,integrity.correctness.evasion-controlled,200,24.481,0.7057011,5,0.89076732882387,,,
evpol-04,integrity.correctness.evasion-controlled,200,28.768,0.67521346,5,0.8619975940370349,,,
evpol-05,integrity.correctness.evasion-controlled,200,20.198,0.6235826,5,0.7726140925019025,,,
evpol-06,integrity.correctness.evasion-controlled,200,22.836,0.6981814,5,0.8943935797323893,,,
evpol-07,integrity.correctness.evasion-controlled,200,24.069,0.68057895,5,0.9172730224207493,,,
evimm-01,integrity.correctness.evasion-controlled,200,20.687,0.52337825,5,0.7080155322273742,,,
evimm-02,integrity.correctness.evasion-controlled,200,23.139,0.69216686,5,0.8461889375776475,,,
evimm-03,integrity.correctness.evasion-controlled,200,20.293,0.6328607,5,0.8513821590884318,,,
evimm-04,integrity.correctness.evasion-controlled,200,19.621,0.65220976,5,0.25,,,
evimm-05,integrity.correctness.evasion-controlled,200,17.243,0.61181676,5,0.25,,,
evimm-06,integrity.correctness.evasion-controlled,200,17.515,0.6285439,5,0.7741805600921708,,,
evimm-07,integrity.correctness.evasion-controlled,200,18.131,0.6022397,5,0.8604373637569899,,,
evelec-01,integrity.correctness.evasion-controlled,200,18.097,0.54140925,5,0.750543452670161,,,
evelec-02,integrity.correctness.evasion-controlled,200,21.044,0.63363886,5,0.8374839391279729,,,
evelec-03,integrity.correctness.evasion-controlled,200,22.428,0.6461662,5,0.8062570783593399,,,
evelec-04,integrity.correctness.evasion-controlled,200,19.774,0.67305744,5,0.780669627239464,,,
evelec-05,integrity.correctness.evasion-controlled,200,19.46,0.6385472,5,0.7619563215178013,,,
evelec-06,integrity.correctness.evasion-controlled,200,24.263,0.6488548,5,0.7851815974314379,,,
evelec-07,integrity.correctness.evasion-controlled,200,20.806,0.64225006,5,0.835735702911186,,,
evgov-01,integrity.correctness.evasion-controlled,200,17.299,0.4782429,5,0.7721900002003992,,,
evgov-02,integrity.correctness.evasion-controlled,200,21.82,0.6817059,5,0.8473540170833669,,,
evgov-03,integrity.correctness.evasion-controlled,200,27.958,0.6632606,5,0.7391051760094285,,,
evgov-04,integrity.correctness.evasion-controlled,200,20.803,0.6561096,5,0.7360402645068729,,,
evgov-05,integrity.correctness.evasion-controlled,200,19.666,0.6417763,5,0.25,,,
evgov-06,integrity.correctness.evasion-controlled,200,25.915,0.5767536,5,0.7296224711087185,,,
evgov-07,integrity.correctness.evasion-controlled,200,40.456,0.56624746,5,0.751762015966897,,,
